MYNamespaceID,MYObjectID,MZDateEdited,MYCollectionID,MYDatasetID[0],MYDatasetID[1],MYDatasetID[2],MYDatasetID[3],MYDatasetID[4],MYStatus,MYOriginalSpecimenID,MYNotes,MYVerificationStatus[0],MYDataSource,MYPreservation[0],MYLanguage,MYEditNotes,MYEvent[0],MYEvent[1],MYGathering[0][MYLeg][0],MYGathering[0][MYLeg][1],MYGathering[0][MYDateBegin],MYGathering[0][MYDateEnd],MYGathering[0][MYHabitatDescription],MYGathering[0][MYCoordinatesVerbatim],MYGathering[0][MYLatitude],MYGathering[0][MYLongitude],MYGathering[0][MYCoordinateSystem],MYGathering[0][MYCoordinateSource],MYGathering[0][MYAlt],MYGathering[0][MYCoordinateNotes],MYGathering[0][MYCountry],MYGathering[0][MYAdministrativeProvince],MYGathering[0][MYDateVerbatim],MYGathering[0][MYMunicipality],MYGathering[0][MYLocality],MYGathering[0][MYSamplingMethod],MYGathering[0][MYLocalityDescription],MYGathering[0][MYCollectingEventName],MYGathering[0][MYUnit][0][MYRecordBasis],MYGathering[0][MYUnit][0][MYNotes],MYGathering[0][MYUnit][0][MYCount],MYGathering[0][MYUnit][0][MYIdentification][0][MYTaxonRank],MYGathering[0][MYUnit][0][MYIdentification][0][MYTaxon],MYGathering[0][MYUnit][0][MYIdentification][0][MYAuthor],MYGathering[0][MYUnit][0][MYIdentification][0][MYPreferredIdentification]
utu:ZMUT,9562,2019-12-19T14:02:21+0200,HR.1648,GX.9142,GX.9136,GX.9138,GX.9376,,Missing,a2-2,"The current location of this sample is unknown. It may have been left in Peru (many samples were not taken to Finland).  Most of the specimens split from it are not yet in the Kotka database (as of 2019).

Due to legal restrictions, it is possible that not all taxa that were originally collected in this sample are available for study.",Ok,https://doi.org/10.5281/zenodo.3559054,,english,,Ichneumonoidea removed,,"Sääksjärvi, Ilari E.",,01.09.1998,16.09.1998,"Original notes in the raw data files (https://doi.org/10.5281/zenodo.3559054):
A2, pebas terassitaso 1, Irapayta
A2=> ""pebas"", Irapayal-palmuja, syviä sadevesiojia, ainakin kaksi isoa Mauritia flexuosa-palmua.",,,,,,,,Peru,Department of Loreto,,,"Reserva Nacional Allpahuayo Mishana, trap a2",Malaise,,Amazon 1998,PreservedSpecimen,"This is the whole sample from the Malaise trap: numerous insects and other invertebrates which were caught in ethanol. 

With time, this specimen will be split into numerous subspecimens (one individual in each specimen). Specimens that have already been separated are listed in 'Separated to specimens'.

Not all taxa are necessarily available for study. (they may even not be at Turku) This is due to legal restrictions which applied to many Amazonian Malaise samples.",numerous,kingdom,Animalia,"Linnaeus, 1758",
utu:ZMUT,9563,2019-12-19T14:02:21+0200,HR.1648,GX.9142,GX.9136,GX.9138,GX.9376,,Missing,a2-3,"The current location of this sample is unknown. It may have been left in Peru (many samples were not taken to Finland).  Most of the specimens split from it are not yet in the Kotka database (as of 2019).

Due to legal restrictions, it is possible that not all taxa that were originally collected in this sample are available for study.",Ok,https://doi.org/10.5281/zenodo.3559054,,english,,Ichneumonoidea removed,,"Sääksjärvi, Ilari E.",,16.09.1998,01.10.1998,"Original notes in the raw data files (https://doi.org/10.5281/zenodo.3559054):
A2, pebas terassitaso 1, Irapayta
A2=> ""pebas"", Irapayal-palmuja, syviä sadevesiojia, ainakin kaksi isoa Mauritia flexuosa-palmua.",,,,,,,,Peru,Department of Loreto,,,"Reserva Nacional Allpahuayo Mishana, trap a2",Malaise,,Amazon 1998,PreservedSpecimen,"This is the whole sample from the Malaise trap: numerous insects and other invertebrates which were caught in ethanol. 

With time, this specimen will be split into numerous subspecimens (one individual in each specimen). Specimens that have already been separated are listed in 'Separated to specimens'.

Not all taxa are necessarily available for study. (they may even not be at Turku) This is due to legal restrictions which applied to many Amazonian Malaise samples.",numerous,kingdom,Animalia,"Linnaeus, 1758",
utu:ZMUT,9564,2019-12-19T14:02:21+0200,HR.1648,GX.9142,GX.9136,GX.9138,GX.9376,,Ok,a2-4,"Most of the specimens split from this sample are not yet in the Kotka database (as of 2019).

Due to legal restrictions, it is possible that not all taxa that were originally collected in this sample are available for study.",Ok,https://doi.org/10.5281/zenodo.3559054,,english,,Ichneumonoidea removed,,"Sääksjärvi, Ilari E.",,01.10.1998,16.10.1998,"Original notes in the raw data files (https://doi.org/10.5281/zenodo.3559054):
A2, pebas terassitaso 1, Irapayta
A2=> ""pebas"", Irapayal-palmuja, syviä sadevesiojia, ainakin kaksi isoa Mauritia flexuosa-palmua.",,,,,,,,Peru,Department of Loreto,,,"Reserva Nacional Allpahuayo Mishana, trap a2",Malaise,,Amazon 1998,PreservedSpecimen,"This is the whole sample from the Malaise trap: numerous insects and other invertebrates which were caught in ethanol. 

With time, this specimen will be split into numerous subspecimens (one individual in each specimen). Specimens that have already been separated are listed in 'Separated to specimens'.

Not all taxa are necessarily available for study. (they may even not be at Turku) This is due to legal restrictions which applied to many Amazonian Malaise samples.",numerous,kingdom,Animalia,"Linnaeus, 1758",
utu:ZMUT,9565,2019-12-19T14:02:21+0200,HR.1648,GX.9142,GX.9136,GX.9138,GX.9376,,Ok,a2-5,"Most of the specimens split from this sample are not yet in the Kotka database (as of 2019).

Due to legal restrictions, it is possible that not all taxa that were originally collected in this sample are available for study.",Ok,https://doi.org/10.5281/zenodo.3559054,,english,,Ichneumonoidea removed,,"Sääksjärvi, Ilari E.",,16.10.1998,01.11.1998,"Original notes in the raw data files (https://doi.org/10.5281/zenodo.3559054):
A2, pebas terassitaso 1, Irapayta
A2=> ""pebas"", Irapayal-palmuja, syviä sadevesiojia, ainakin kaksi isoa Mauritia flexuosa-palmua.",,,,,,,,Peru,Department of Loreto,,,"Reserva Nacional Allpahuayo Mishana, trap a2",Malaise,,Amazon 1998,PreservedSpecimen,"This is the whole sample from the Malaise trap: numerous insects and other invertebrates which were caught in ethanol. 

With time, this specimen will be split into numerous subspecimens (one individual in each specimen). Specimens that have already been separated are listed in 'Separated to specimens'.

Not all taxa are necessarily available for study. (they may even not be at Turku) This is due to legal restrictions which applied to many Amazonian Malaise samples.",numerous,kingdom,Animalia,"Linnaeus, 1758",
utu:ZMUT,9566,2019-12-19T14:02:21+0200,HR.1648,GX.9142,GX.9136,GX.9138,GX.9376,,Ok,a2-6,"Most of the specimens split from this sample are not yet in the Kotka database (as of 2019).

Due to legal restrictions, it is possible that not all taxa that were originally collected in this sample are available for study.",Ok,https://doi.org/10.5281/zenodo.3559054,,english,,Ichneumonoidea removed,,"Sääksjärvi, Ilari E.",,01.11.1998,16.11.1998,"Original notes in the raw data files (https://doi.org/10.5281/zenodo.3559054):
A2, pebas terassitaso 1, Irapayta
A2=> ""pebas"", Irapayal-palmuja, syviä sadevesiojia, ainakin kaksi isoa Mauritia flexuosa-palmua.",,,,,,,,Peru,Department of Loreto,,,"Reserva Nacional Allpahuayo Mishana, trap a2",Malaise,,Amazon 1998,PreservedSpecimen,"This is the whole sample from the Malaise trap: numerous insects and other invertebrates which were caught in ethanol. 

With time, this specimen will be split into numerous subspecimens (one individual in each specimen). Specimens that have already been separated are listed in 'Separated to specimens'.

Not all taxa are necessarily available for study. (they may even not be at Turku) This is due to legal restrictions which applied to many Amazonian Malaise samples.",numerous,kingdom,Animalia,"Linnaeus, 1758",
utu:ZMUT,9567,2019-12-19T14:02:21+0200,HR.1648,GX.9142,GX.9136,GX.9138,GX.9376,,Ok,a2-7,"Most of the specimens split from this sample are not yet in the Kotka database (as of 2019).

Due to legal restrictions, it is possible that not all taxa that were originally collected in this sample are available for study.",Ok,https://doi.org/10.5281/zenodo.3559054,,english,,Ichneumonoidea removed,,"Sääksjärvi, Ilari E.",,16.11.1998,01.12.1998,"Original notes in the raw data files (https://doi.org/10.5281/zenodo.3559054):
A2, pebas terassitaso 1, Irapayta
A2=> ""pebas"", Irapayal-palmuja, syviä sadevesiojia, ainakin kaksi isoa Mauritia flexuosa-palmua.",,,,,,,,Peru,Department of Loreto,,,"Reserva Nacional Allpahuayo Mishana, trap a2",Malaise,,Amazon 1998,PreservedSpecimen,"This is the whole sample from the Malaise trap: numerous insects and other invertebrates which were caught in ethanol. 

With time, this specimen will be split into numerous subspecimens (one individual in each specimen). Specimens that have already been separated are listed in 'Separated to specimens'.

Not all taxa are necessarily available for study. (they may even not be at Turku) This is due to legal restrictions which applied to many Amazonian Malaise samples.",numerous,kingdom,Animalia,"Linnaeus, 1758",
utu:ZMUT,9568,2019-12-19T14:02:21+0200,HR.1648,GX.9142,GX.9136,GX.9138,GX.9376,,Missing,a2-8,"The current location of this sample is unknown. It may have been left in Peru (many samples were not taken to Finland).  Most of the specimens split from it are not yet in the Kotka database (as of 2019).

Due to legal restrictions, it is possible that not all taxa that were originally collected in this sample are available for study.",Ok,https://doi.org/10.5281/zenodo.3559054,,english,,Ichneumonoidea removed,,"Sääksjärvi, Ilari E.",,01.12.1998,16.12.1998,"Original notes in the raw data files (https://doi.org/10.5281/zenodo.3559054):
A2, pebas terassitaso 1, Irapayta
A2=> ""pebas"", Irapayal-palmuja, syviä sadevesiojia, ainakin kaksi isoa Mauritia flexuosa-palmua.",,,,,,,,Peru,Department of Loreto,,,"Reserva Nacional Allpahuayo Mishana, trap a2",Malaise,,Amazon 1998,PreservedSpecimen,"This is the whole sample from the Malaise trap: numerous insects and other invertebrates which were caught in ethanol. 

With time, this specimen will be split into numerous subspecimens (one individual in each specimen). Specimens that have already been separated are listed in 'Separated to specimens'.

Not all taxa are necessarily available for study. (they may even not be at Turku) This is due to legal restrictions which applied to many Amazonian Malaise samples.",numerous,kingdom,Animalia,"Linnaeus, 1758",
utu:ZMUT,9569,2019-12-19T14:02:21+0200,HR.1648,GX.9142,GX.9136,GX.9138,GX.9376,,Ok,a2-9,"Most of the specimens split from this sample are not yet in the Kotka database (as of 2019).

Due to legal restrictions, it is possible that not all taxa that were originally collected in this sample are available for study.",Ok,https://doi.org/10.5281/zenodo.3559054,,english,,Ichneumonoidea removed,,"Sääksjärvi, Ilari E.",,16.12.1998,01.01.1999,"Original notes in the raw data files (https://doi.org/10.5281/zenodo.3559054):
A2, pebas terassitaso 1, Irapayta
A2=> ""pebas"", Irapayal-palmuja, syviä sadevesiojia, ainakin kaksi isoa Mauritia flexuosa-palmua.",,,,,,,,Peru,Department of Loreto,,,"Reserva Nacional Allpahuayo Mishana, trap a2",Malaise,,Amazon 1998,PreservedSpecimen,"This is the whole sample from the Malaise trap: numerous insects and other invertebrates which were caught in ethanol. 

With time, this specimen will be split into numerous subspecimens (one individual in each specimen). Specimens that have already been separated are listed in 'Separated to specimens'.

Not all taxa are necessarily available for study. (they may even not be at Turku) This is due to legal restrictions which applied to many Amazonian Malaise samples.",numerous,kingdom,Animalia,"Linnaeus, 1758",
utu:ZMUT,9570,2019-12-19T14:02:21+0200,HR.1648,GX.9143,GX.9136,GX.9138,GX.9375,,Ok,b1-2,"Most of the specimens split from this sample are not yet in the Kotka database (as of 2019).

Due to legal restrictions, it is possible that not all taxa that were originally collected in this sample are available for study.",Ok,https://doi.org/10.5281/zenodo.3559054,,english,,Ichneumonoidea removed,,"Sääksjärvi, Ilari E.",,01.09.1998,16.09.1998,"Original notes in the raw data files (https://doi.org/10.5281/zenodo.3559054):
B1 varillal alto humedo
B1=> ""kostea varillal"", aceite kaspal, paljon aikuisia aceite kaspi-puita, jotka muodostavat n. 1/2 hehtaarin kokoisen metsikön, Polioptelis-lintulaji elää täällä, Mauritiella aquileata indikoi kosteaa ympäristöä.",,,,,,,,Peru,Department of Loreto,,,"Reserva Nacional Allpahuayo Mishana, trap b1",Malaise,,Amazon 1998,PreservedSpecimen,"This is the whole sample from the Malaise trap: numerous insects and other invertebrates which were caught in ethanol. 

With time, this specimen will be split into numerous subspecimens (one individual in each specimen). Specimens that have already been separated are listed in 'Separated to specimens'.

Not all taxa are necessarily available for study. (they may even not be at Turku) This is due to legal restrictions which applied to many Amazonian Malaise samples.",numerous,kingdom,Animalia,"Linnaeus, 1758",
utu:ZMUT,9571,2019-12-19T14:02:21+0200,HR.1648,GX.9143,GX.9136,GX.9138,GX.9375,,Ok,b1-3,"Most of the specimens split from this sample are not yet in the Kotka database (as of 2019).

Due to legal restrictions, it is possible that not all taxa that were originally collected in this sample are available for study.",Ok,https://doi.org/10.5281/zenodo.3559054,,english,,Ichneumonoidea removed,,"Sääksjärvi, Ilari E.",,16.09.1998,01.10.1998,"Original notes in the raw data files (https://doi.org/10.5281/zenodo.3559054):
B1 varillal alto humedo
B1=> ""kostea varillal"", aceite kaspal, paljon aikuisia aceite kaspi-puita, jotka muodostavat n. 1/2 hehtaarin kokoisen metsikön, Polioptelis-lintulaji elää täällä, Mauritiella aquileata indikoi kosteaa ympäristöä.",,,,,,,,Peru,Department of Loreto,,,"Reserva Nacional Allpahuayo Mishana, trap b1",Malaise,,Amazon 1998,PreservedSpecimen,"This is the whole sample from the Malaise trap: numerous insects and other invertebrates which were caught in ethanol. 

With time, this specimen will be split into numerous subspecimens (one individual in each specimen). Specimens that have already been separated are listed in 'Separated to specimens'.

Not all taxa are necessarily available for study. (they may even not be at Turku) This is due to legal restrictions which applied to many Amazonian Malaise samples.",numerous,kingdom,Animalia,"Linnaeus, 1758",
utu:ZMUT,9572,2019-12-19T14:02:21+0200,HR.1648,GX.9143,GX.9136,GX.9138,GX.9375,,Ok,b1-4,"Most of the specimens split from this sample are not yet in the Kotka database (as of 2019).

Due to legal restrictions, it is possible that not all taxa that were originally collected in this sample are available for study.",Ok,https://doi.org/10.5281/zenodo.3559054,,english,,Ichneumonoidea removed,,"Sääksjärvi, Ilari E.",,01.10.1998,16.10.1998,"Original notes in the raw data files (https://doi.org/10.5281/zenodo.3559054):
B1 varillal alto humedo
B1=> ""kostea varillal"", aceite kaspal, paljon aikuisia aceite kaspi-puita, jotka muodostavat n. 1/2 hehtaarin kokoisen metsikön, Polioptelis-lintulaji elää täällä, Mauritiella aquileata indikoi kosteaa ympäristöä.",,,,,,,,Peru,Department of Loreto,,,"Reserva Nacional Allpahuayo Mishana, trap b1",Malaise,,Amazon 1998,PreservedSpecimen,"This is the whole sample from the Malaise trap: numerous insects and other invertebrates which were caught in ethanol. 

With time, this specimen will be split into numerous subspecimens (one individual in each specimen). Specimens that have already been separated are listed in 'Separated to specimens'.

Not all taxa are necessarily available for study. (they may even not be at Turku) This is due to legal restrictions which applied to many Amazonian Malaise samples.",numerous,kingdom,Animalia,"Linnaeus, 1758",
